year,2,3,4,5,6,total successfully aged,data source,source,location_desc,data source notes,data location notes/comments
2025,0,0,110,7,0,117,age batch details - Aug 2026,escapement,Atnarko R abv Lonesome Lk,,
2025,0,33,147,27,0,207,age batch details - Aug 2026,escapement,Atnarko R bel Stillwater,,
2024,0,1,1,0,0,2,age batch details - Aug 2026,escapement,Atnarko R abv Tenas,,
2024,0,2,76,25,2,105,age batch details - Aug 2026,escapement,S Atnarko R abv Lonesome Lk,,
2024,0,1,17,0,0,18,age batch details - Aug 2026,escapement,S Atnarko R abv Rainbow,,
2024,0,2,2,0,0,4,age batch details - Aug 2026,escapement,S Atnarko R abv Stillwater,,
2024,0,8,41,8,0,57,age batch details - Aug 2026,escapement,S Atnarko R bel Stillwater,,
2023,0,3,44,44,0,91,age batch details - Aug 2026,escapement,S Atnarko R bel Stillwater,,
2023,0,0,71,23,1,95,age batch details - Aug 2026,escapement,S Atnarko R abv Lonesome Lk,,
2023,0,1,6,3,0,10,age batch details - Aug 2026,escapement,S Atnarko R abv Rainbow,,
2022,0,2,116,29,0,147,age batch details - Aug 2026,escapement,S Atnarko R bel Stillwater,,
2022,0,0,54,27,2,83,age batch details - Aug 2026,escapement,S Atnarko R abv Lonesome Lk,,
2021,0,4,97,28,1,130,NuSEDs,escapement,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026 ,
2021,0,0,0,1,0,1,NuSEDs,escapement,S Atnarko R abv Rainbow,NuSEDs pull titled: Age readings data Feb 2026 ,
2021,2,1,5,1,0,9,NuSEDs,escapement,S Atnarko R abv Stillwater,NuSEDs pull titled: Age readings data Feb 2026 ,
2021,0,5,52,38,0,95,NuSEDs,escapement,S Atnarko R bel Stillwater,NuSEDs pull titled: Age readings data Feb 2026 ,
2020,2,1,21,0,0,24,NuSEDs,escapement,S Atnarko R bel Stillwater,NuSEDs pull titled: Age readings data Feb 2026 ,
2020,0,5,167,6,0,178,NuSEDs,escapement,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026 ,
2020,0,1,4,0,0,5,NuSEDs,escapement,S Atnarko R abv Stillwater,NuSEDs pull titled: Age readings data Feb 2026 ,
2019,0,4,101,24,0,129,NuSEDs,escapement,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026 ,
2018,0,3,166,35,1,205,NuSEDs,escapement,S Atnarko R abv Lonesome Lk,NuSEDs pull titled: Age readings data Feb 2026 ,Referenced KM review of escapement ages previously. Archived mainstem otoliths somewhere at ageing lab. Need to change location in NUSEDS (sample number 2018/0139 and 2018/0357)- listed as Atnarko River- Should read S Atnarko Abv Lonesome Lk. 
2017,,,,,,,,,,,
